"도로명","링크아이디","시점명","종점명","거리","차선수","평균속도","좌표"
"가마산로","1180011800","사러가시장앞","성락주유소앞","750","3","19.133452004928316","LINESTRING(192132.088343 445161.233068, 192119.34843 445163.988782, 192102.197883 445166.451762, 191866.224896 445170.470575, 191825.968582 445168.103891, 191774.561603 445156.599753, 191730.885924 445139.337071, 191426.245441 444980.634335)"
"가마산로","1180011900","성락주유소앞","사러가시장앞","742","3","20.461181955645163","LINESTRING(191431.789639 444969.991879, 191735.876934 445128.406431, 191778.098914 445145.094543, 191827.641899 445156.181546, 191866.475219 445158.464572, 192101.23903 445154.466352, 192117.224396 445152.170703, 192129.551348 445149.504315)"
"가마산로","2130003902","구로IC_가마산길_진입_1","구로현대로얄아파트","53","3","28.000584829429084","LINESTRING(189268.233398 443030.904698, 189222.300044 443003.718357)"
"가마산로","2130004002","구로현대로얄아파트","구로IC","53","2","42.73665193772402","LINESTRING(189228.650524 442993.532673, 189274.345464 443020.577905)"
"가산디지털1로","1170004100","한국산업기술협회","금천고가차도","392","2","22.174730918778803","LINESTRING(189947.46549 441116.858107, 189986.468915 441005.951336, 190025.47234 440895.044566, 190077.476907 440747.168872)"
"가산디지털1로","1170004200","금천고가차도","한국산업기술협회","392","2","22.587284602214545","LINESTRING(190088.797273 440751.149991, 190049.793848 440862.056761, 190010.790423 440972.963532, 189958.785857 441120.839226)"
"가산디지털1로","1170005700","구로한국후지필름","한국산업기술협회","414","2","27.205705093125957","LINESTRING(189810.417027 441507.969125, 189851.530892 441390.637739, 189892.644757 441273.306353, 189947.463244 441116.864505)"
"가산디지털1로","1170005800","한국산업기술협회","구로한국후지필름","414","2","27.82815085765489","LINESTRING(189958.788103 441120.832827, 189917.674238 441238.164213, 189876.560373 441355.495599, 189821.741886 441511.937447)"
"가산디지털1로","1170006900","3공단파출소","구로한국후지필름","422","2","30.846223222286227","LINESTRING(189671.506059 441906.177282, 189713.17852 441786.717209, 189754.85098 441667.257136, 189810.41426 441507.977039)"
"가산디지털1로","1170007000","구로한국후지필름","3공단파출소","422","2","23.37209619015617","LINESTRING(189821.744652 441511.929534, 189780.072192 441631.389606, 189738.399732 441750.849679, 189682.836452 441910.129777)"
"가산디지털1로","1170009100","가산디지털단지역(7호선)","3공단파출소","418","3","23.225597198220687","LINESTRING(189532.612496 442300.106765, 189574.282552 442181.922256, 189615.952607 442063.737747, 189671.512681 441906.158402)"
"가산디지털1로","1170009200","3공단파출소","가산디지털단지역(7호선)","418","2","23.55212018369176","LINESTRING(189682.82983 441910.148656, 189641.159775 442028.333165, 189599.489719 442146.517674, 189543.929646 442304.097019)"
"가산디지털1로","1170010300","한국건설생활환경시험연구원","가산디지털단지역(7호선)","417","2","24.43305552355351","LINESTRING(189393.508662 442693.676436, 189435.240269 442575.604242, 189476.971875 442457.532047, 189532.614018 442300.102455)"
"가산디지털1로","1170010400","가산디지털단지역(7호선)","한국건설생활환경시험연구원","417","2","22.573403897849467","LINESTRING(189543.928124 442304.101329, 189502.196517 442422.173523, 189460.464911 442540.245718, 189404.822768 442697.67531)"
"가산디지털1로","1170010900","구로현대로얄아파트","한국건설생활환경시험연구원","354","2","23.35429487487199","LINESTRING(189240.496373 442996.666739, 189295.20176 442969.046099, 189393.507399 442693.680012)"
"가산디지털1로","1170011000","한국건설생활환경시험연구원","구로현대로얄아파트","357","2","22.598795538914494","LINESTRING(189404.824031 442697.671735, 189306.49661 442976.432369, 189251.963745 443004.558379)"
"가산디지털2로","1170005300","마이크로오피스앞","대륭테크노타운","416","2","26.68399419162826","LINESTRING(189594.524146 441432.032444, 189716.75672 441080.16041, 189718.849974 441068.256827, 189720.209192 441036.614895)"
"가산디지털2로","1170005400","대륭테크노타운","마이크로오피스앞","420","2","27.708043562788017","LINESTRING(189732.198136 441037.129895, 189730.805101 441069.559078, 189728.408475 441083.187826, 189605.859683 441435.970159)"
"가산디지털2로","1170006700","디지털3단지","마이크로오피스앞","421","2","27.46574684779826","LINESTRING(189456.002845 441829.283667, 189497.559932 441710.106296, 189539.11702 441590.928925, 189594.526471 441432.025764)"
"가산디지털2로","1170006800","마이크로오피스앞","디지털3단지","421","2","20.864280001920125","LINESTRING(189605.857359 441435.976839, 189564.300271 441555.154209, 189522.743183 441674.33158, 189467.333732 441833.234741)"
"가산디지털2로","1170008700","디지털3단지월드벤쳐센터","디지털3단지","419","2","20.65201228878648","LINESTRING(189315.243078 442223.669423, 189357.47538 442105.341304, 189399.707682 441987.013186, 189456.017417 441829.242361)"
"가산디지털2로","1170008800","디지털3단지","디지털3단지월드벤쳐센터","419","2","24.270934811827964","LINESTRING(189467.319159 441833.276047, 189425.086857 441951.604166, 189382.854556 442069.932285, 189326.54482 442227.70311)"
"가산디지털2로","1170010100","구로디지털3단지운동장","디지털3단지월드벤쳐센터","418","2","21.63483095718126","LINESTRING(189176.954241 442618.483125, 189218.437348 442500.049038, 189259.920455 442381.614952, 189315.231264 442223.702836)"
"가산디지털2로","1170010200","디지털3단지월드벤쳐센터","구로디지털3단지운동장","418","2","18.46935111047107","LINESTRING(189326.556634 442227.669697, 189285.073527 442346.103784, 189243.59042 442464.53787, 189188.279611 442622.449986)"
"가산디지털2로","1170010700","한일유앤아이앞","구로디지털3단지운동장","322","2","20.81008340533794","LINESTRING(189072.22659 442922.628684, 189103.64176 442831.394014, 189135.056931 442740.159343, 189176.943825 442618.513116)"
"가산디지털2로","1170010800","구로디지털3단지운동장","한일유앤아이앞","322","2","19.858755832373273","LINESTRING(189188.290027 442622.419995, 189156.874856 442713.654666, 189125.459685 442804.889336, 189083.572791 442926.535564)"
"가산로","1170005900","독산사거리","독산동남문종합시장","430","2","23.477100470430106","LINESTRING(190992.335304 441331.447123, 191192.283598 441318.081459, 191414.613946 441258.983065)"
"가산로","1170006000","독산동남문종합시장","독산사거리","433","2","18.720805123527906","LINESTRING(191417.696658 441270.580344, 191194.243339 441329.97724, 190993.135665 441343.420402)"
"가산로","1170007100","디지털단지오거리","독산사거리","1190","2","18.89205248335894","LINESTRING(190253.27491 442216.634341, 190273.732778 442196.190135, 190548.299651 441798.854719, 190795.995132 441411.071774, 190813.591965 441391.89483, 190831.993066 441377.12494, 190852.372054 441365.293983, 190896.172845 441348.366588, 190953.052136 441335.848786, 190992.066452 441331.47118)"
"가산로","1170007200","독산사거리","디지털단지오거리","1182","2","15.556084245391705","LINESTRING(190993.404517 441343.396346, 190955.016164 441347.703716, 190899.645385 441359.88953, 190857.579475 441376.146457, 190838.799666 441387.049015, 190821.815987 441400.681193, 190805.544618 441418.413651, 190558.295561 441805.497693, 190282.985752 442203.908237, 190261.757356 442225.122456)"
"가양대로","1130026900","구룡삼거리","가양대교북단","1150","2","51.35018309171787","LINESTRING(189063.942896 453420.319074, 188948.206191 453347.349429, 188901.225685 453323.534814, 188858.281297 453305.77217, 188807.425914 453287.525353, 188585.7736 453225.436097, 188505.162589 453197.505006, 188445.715027 453170.486326, 188379.441313 453137.768926, 188317.135065 453097.794995, 188270.782866 453060.667246, 188232.795404 453025.92359, 188197.127093 452987.891217, 188148.274501 452930.957588, 188122.764895 452896.140781, 188095.886064 452853.941415)"
"가양대로","1130027000","가양대교북단","구룡삼거리","1145","2","38.736509888632874","LINESTRING(188106.007319 452847.494695, 188132.67598 452889.364098, 188157.681783 452923.49329, 188206.061401 452979.875706, 188241.23366 453017.379149, 188278.59163 453051.547066, 188324.145293 453088.035194, 188385.35575 453127.306097, 188450.854941 453159.641137, 188509.619197 453186.349257, 188589.359672 453213.978715, 188811.075289 453276.085703, 188862.603352 453294.573876, 188906.239195 453312.62252, 188954.131866 453336.899515, 189070.342834 453410.168172)"
"가양대로","1130027900","월드컵파크7단지","구룡삼거리","615","3","25.643118559587815","LINESTRING(189577.24217 453758.539417, 189543.81775 453736.649304, 189510.393329 453714.75919, 189465.809562 453685.56062, 189345.218016 453605.967804, 189224.62647 453526.374989, 189063.837743 453420.251234)"
"가양대로","1130028000","구룡삼거리","월드컵파크7단지","615","3","32.32679367479519","LINESTRING(189070.447988 453410.236013, 189191.039534 453489.828828, 189311.631079 453569.421644, 189472.419807 453675.545399, 189505.826354 453697.423762, 189539.250775 453719.313876, 189583.816669 453748.500694)"
"가양대로","1130029100","DMC첨단산업센터","월드컵파크7단지","274","4","26.348314204109066","LINESTRING(189779.808029 453941.8318, 189718.817088 453886.6733, 189657.826148 453831.5148, 189576.504894 453757.970133)"
"가양대로","1130029200","월드컵파크7단지","DMC첨단산업센터","274","3","31.041085909498207","LINESTRING(189584.553945 453749.069978, 189645.544886 453804.228478, 189706.535826 453859.386978, 189787.857081 453932.931645)"
"가양대로","1130029700","수색교","DMC첨단산업센터","344","3","24.09469717261905","LINESTRING(190035.121987 454172.749245, 189958.527746 454103.473963, 189881.933505 454034.198681, 189779.80785 453941.831639)"
"가양대로","1130029800","DMC첨단산업센터","수색교","344","3","21.44517796338966","LINESTRING(189787.857259 453932.931806, 189864.4515 454002.207088, 189941.045742 454071.48237, 190043.171397 454163.849412)"
"가재울미래로","1120036100","DMC파크뷰APT","남가좌동새마을금고","385","2","23.26844710061444","LINESTRING(192474.1 452536.96, 192624.72 452702.36, 192718.05 452794.37, 192738.26 452817.13)"
"가재울미래로","1120036200","남가좌동새마을금고","DMC파크뷰APT","385","2","24.231470139797693","LINESTRING(192729.28 452825.09, 192709.34 452802.64, 192616.09 452710.7, 192465.19 452545)"
"가좌로","1110004700","응암오거리","충암고교","682","2","26.369403161802357","LINESTRING(192684.858364 454503.166942, 193085.260089 454104.666268, 193167.234563 454020.399233)"
"가좌로","1110004800","충암고교","응암오거리","683","2","18.791961773553506","LINESTRING(193175.836043 454028.766702, 193093.79392 454113.103278, 192693.32343 454511.672391)"
"가좌로","1110006500","새절역","응암오거리","400","2","19.164150897657453","LINESTRING(192400.841855 454784.893048, 192486.048939 454700.373099, 192571.256022 454615.85315, 192684.865467 454503.159885)"
"가좌로","1110006600","응암오거리","새절역","400","2","21.756691940284178","LINESTRING(192693.316327 454511.679449, 192608.109243 454596.199398, 192522.90216 454680.719347, 192409.292715 454793.412612)"
"가좌로","1110007300","신사동고개사거리","새절역","586","2","20.990652057731694","LINESTRING(191983.281867 455195.780209, 192014.792622 455170.883541, 192400.824967 454784.909867)"
"가좌로","1110007400","새절역","신사동고개사거리","587","2","22.334100654441883","LINESTRING(192409.309603 454793.395793, 192022.781769 455179.864881, 191990.721234 455205.19593)"
"가좌로","1110007500","신사지하차도","신사동고개사거리","126","2","19.901542618727596","LINESTRING(191875.847106 455260.666242, 191908.262293 455241.072347, 191940.677479 455221.478452, 191983.897729 455195.353258)"
"가좌로","1110007600","신사동고개사거리","신사지하차도","126","2","35.116436171915005","LINESTRING(191990.105372 455205.622881, 191957.690185 455225.216777, 191925.274998 455244.810672, 191882.054749 455270.935865)"
"가좌로","1120009700","홍연2교동측","연희지하차도","384","1","29.755574740783413","LINESTRING(193942.115558 453117.203465, 194049.239693 453075.122399, 194156.363828 453033.041332, 194299.196008 452976.933244)"
"가좌로","1120009800","연희지하차도","홍연2교동측","384","2","29.158037402393752","LINESTRING(194303.583528 452988.102383, 194196.459393 453030.183449, 194089.335258 453072.264516, 193946.503078 453128.372604)"
"가좌로","1120010100","홍연2교서측","홍연2교동측","103","3","32.22916399449565","LINESTRING(193849.214964 453162.539374, 193876.953547 453148.996463, 193904.692131 453135.453551, 193941.676909 453117.396335)"
"가좌로","1120010200","홍연2교동측","홍연2교서측","103","3","12.300294578853048","LINESTRING(193946.941727 453128.179734, 193919.203144 453141.722646, 193891.46456 453155.265557, 193854.479782 453173.322773)"
"가좌로","1120011500","명지대입구","홍연2교서측","502","2","28.788032602086535","LINESTRING(193535.133969 453557.909516, 193628.737279 453439.797996, 193722.34059 453321.686476, 193847.145004 453164.204449)"
"가좌로","1120011600","홍연2교서측","명지대입구","502","2","22.19764841749872","LINESTRING(193856.549742 453171.657698, 193762.946431 453289.769218, 193669.34312 453407.880738, 193544.538706 453565.362765)"
"가좌로","1120012500","충암고교","명지대입구","592","2","22.89677741775474","LINESTRING(193166.839933 454020.847529, 193277.330244 453881.96348, 193387.820554 453743.079432, 193535.140968 453557.900701)"
"가좌로","1120012600","명지대입구","충암고교","592","2","25.12592003488223","LINESTRING(193544.531707 453565.371579, 193434.041397 453704.255627, 193323.551087 453843.139675, 193176.230673 454028.318406)"
"갈현로","1110009300","시립서북병원","신사동고개","836","1","23.442221998207884","LINESTRING(192093.165486 456217.588786, 192082.084134 455969.583116, 192072.761041 455658.558161, 192064.71332 455503.493277, 192062.762875 455422.516658, 192059.050726 455399.793185, 192056.029733 455382.3329)"
