STORUNST,FROR_CD,FRTP_CD,KOFTR_GROU,DMCLS_CD,AGCLS_CD,DNST_CD,HEIGHT,LDMARK_STN,MAP_LABEL,갱신년도,ETC_PCMTT,FRTP_NM,KOFTR_NM,DMCLS_NM,AGCLS_NM,DNST_NM,HEIGHT_NM,Shape_Leng,Shape_Area
"1","2","1","11","1","3",C,"00",J12111,NPD-13C,"2017",수고측정불가지역,침엽수림,소나무,소경목,3영급,밀,임분고 1m 미만,338.94912275700,5616.93810993000
"1","1","1","12","1","3",C,"00",J11112,APK-13C,"2020",수고측정불가지역,침엽수림,잣나무,소경목,3영급,밀,임분고 1m 미만,515.08421955000,10395.48306860000
"1","2","2","34","2","4",C,"12",J12234,NQQ-24C,,,활엽수림,기타 참나무류,중경목,4영급,밀,임분고 11m 이상 13m미만,409.40764986300,7937.17423697000
"1","2","2","30","2","4",C,"14",J12230,NEB-24C,"2019","기타활엽수류 및 참나무류, 아까시 등",활엽수림,기타활엽수,중경목,4영급,밀,임분고 13m 이상 15m미만,1908.12966614000,30057.96238680000
"1","2","3","77","2","4",C,"16",J12377,NMM-24C,"2021",,혼효림,침활혼효림,중경목,4영급,밀,임분고 15m 이상 17m미만,348.21713259700,5918.94734282000
"1","2","2","34","2","4",C,"18",J12234,NQQ-24C,"2020",,활엽수림,기타 참나무류,중경목,4영급,밀,임분고 17m 이상 19m미만,2862.88639546000,81027.28980889999
"1","2","2","34","2","5",C,"18",J12234,NQQ-25C,"2018",,활엽수림,기타 참나무류,중경목,5영급,밀,임분고 17m 이상 19m미만,100.16654627000,535.24181547800
"0","0","0","93",,,,,J00093,C,,,무립목지/비산림,경작지,,,,,154.67724571500,1508.04702653000
"1","2","2","30","2","5",B,"10",J12230,NEB-25B,"2020",,활엽수림,기타활엽수,중경목,5영급,중,임분고 9m 이상 11m미만,1395.06632717000,27814.76599810000
"1","2","3","77","1","3",C,"00",J12377,NMM-13C,"2019",,혼효림,침활혼효림,소경목,3영급,밀,임분고 1m 미만,521.14362450600,9043.99523018000
"1","2","2","34","2","4",C,"00",J12234,NQQ-24C,"2020",,활엽수림,기타 참나무류,중경목,4영급,밀,임분고 1m 미만,1051.83176567000,16646.05330830000
"1","1","1","12","1","3",C,"00",J11112,APK-13C,,,침엽수림,잣나무,소경목,3영급,밀,임분고 1m 미만,163.25746315200,1890.81381284000
"1","1","2","49","2","4",C,"00",J11249,ARP-24C,"2017",,활엽수림,아까시나무,중경목,4영급,밀,임분고 1m 미만,523.12848373800,9958.13959469000
"0","0","0","91",,,,,J00091,S,,,무립목지/비산림,주거지,,,,,66.55749954730,338.85032238700
"0","0","0","93",,,,,J00093,C,"2020",,무립목지/비산림,경작지,,,,,129.17770588400,961.86202528600
"0","0","0","91",,,,,J00091,S,,,무립목지/비산림,주거지,,,,,155.16952629300,1811.09916274000
"1","2","2","34","2","5",C,"00",J12234,NQQ-25C,"2017",,활엽수림,기타 참나무류,중경목,5영급,밀,임분고 1m 미만,944.72183908700,46974.65503380000
"1","1","1","12","1","3",C,"12",J11112,APK-13C,"2019",,침엽수림,잣나무,소경목,3영급,밀,임분고 11m 이상 13m미만,308.45481019100,3755.69061671000
"1","1","1","12","1","3",C,"08",J11112,APK-13C,,,침엽수림,잣나무,소경목,3영급,밀,임분고 7m 이상 9m미만,345.69200936400,6055.96382983000
"1","2","2","34","2","4",C,"18",J12234,NQQ-24C,"2020",,활엽수림,기타 참나무류,중경목,4영급,밀,임분고 17m 이상 19m미만,792.75405623100,21508.48925950000
"1","2","2","30","2","4",C,"10",J12230,NEB-24C,"2019",,활엽수림,기타활엽수,중경목,4영급,밀,임분고 9m 이상 11m미만,271.12255332200,2539.11828064000
"1","2","2","34","2","4",C,"14",J12234,NQQ-24C,"2020",,활엽수림,기타 참나무류,중경목,4영급,밀,임분고 13m 이상 15m미만,273.40175338900,3915.18978391000
"1","2","1","11","2","4",C,"14",J12111,NPD-24C,"2020",,침엽수림,소나무,중경목,4영급,밀,임분고 13m 이상 15m미만,514.00995304100,8243.02368967000
"1","2","2","34","2","4",C,"00",J12234,NQQ-24C,"2020",,활엽수림,기타 참나무류,중경목,4영급,밀,임분고 1m 미만,1791.04096698000,35859.76711910000
"0","0","0","91",,,,,J00091,S,,,무립목지/비산림,주거지,,,,,270.92457983200,4539.95145892000
"1","2","1","11","2","4",C,"00",J12111,NPD-24C,,,침엽수림,소나무,중경목,4영급,밀,임분고 1m 미만,378.27815771900,8281.13251096000
"1","1","2","30","0","1",A,"00",J11230,AEB-01A,"2017","2017사유림_조림(버즘나무,화살나무,활엽수,기타), 2013사유림_조림(복자기나무,40본)",활엽수림,기타활엽수,치수,1영급,소,임분고 1m 미만,279.20653575100,5151.04058080000
"0","0","0","91",,,,,J00091,S,,,무립목지/비산림,주거지,,,,,91.35224042750,586.98249131700
"1","1","2","49","2","4",C,"14",J11249,ARP-24C,"2020",,활엽수림,아까시나무,중경목,4영급,밀,임분고 13m 이상 15m미만,1463.77309610000,65271.95268180000
